name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2023-11-16,8.6,5.5,7.2,7.2,4.3,5.9,5.4,88.6,0.01,100,25,rain,0,0,18.7,11,338.9,1013.9,76.3,11.2,11.2,0.9,1,10,2023-11-16T07:19:43,2023-11-16T16:10:12,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-17,11,3.6,7.1,11,1.3,5.7,5.2,88.5,0.597,100,8.33,rain,0,0,18.7,15.5,233.2,1019.6,39,15.8,26.4,2.3,2,10,2023-11-17T07:21:26,2023-11-17T16:08:53,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-18,14.8,8.6,12.4,14.8,6.1,12,11,90.8,3.221,100,58.33,rain,0,0,43.2,24.1,209.6,1011.1,93.6,10,9.4,0.8,1,10,2023-11-18T07:23:07,2023-11-18T16:07:37,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-19,14.1,11.1,12.4,14.1,11.1,12.4,8.7,78.2,1.392,100,4.17,rain,0,0,52.3,31.2,239.5,1007.6,77.6,13.9,23.7,2,3,10,2023-11-19T07:24:48,2023-11-19T16:06:23,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-20,12.1,8.3,10.4,12.1,6,9.8,7.6,82.7,0.206,100,16.67,rain,0,0,31.2,20.4,272.2,1009.4,75,15.3,22.5,1.9,1,10,2023-11-20T07:26:28,2023-11-20T16:05:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-21,11.1,8.6,10.2,11.1,7.1,9.4,7.6,84.1,0.4,100,16.67,rain,0,0,36.7,19.8,355.5,1022.5,95.8,16.3,8.6,0.7,0,10,2023-11-21T07:28:07,2023-11-21T16:04:03,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-22,10.6,5.3,8.3,10.6,4.1,7.4,6.2,86.5,0,0,0,,0,0,24.1,15.8,255,1029.6,52.7,15.8,18,1.6,1,10,2023-11-22T07:29:45,2023-11-22T16:02:57,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-23,13.5,7.1,10.6,13.5,4.2,9.8,8.4,86.3,0,0,0,rain,0,0,36.7,25.7,268.5,1024.7,49.4,19.8,20.6,1.9,2,10,2023-11-23T07:31:22,2023-11-23T16:01:53,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-24,11.6,4,8.1,11.6,1.4,6.2,0.8,60.3,0,0,0,,0,0,45.6,24.7,329.2,1021.3,61.7,21.8,15.3,1.4,1,10,2023-11-24T07:32:57,2023-11-24T16:00:53,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-25,6.3,0.1,3.2,3.7,-2.2,1,-1.2,73.4,0,0,0,,0,0,24.1,17,304.1,1021.3,5.9,19.1,23.2,2.1,3,10,2023-11-25T07:34:32,2023-11-25T15:59:55,0.43,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
